DateTime,Kitchen Cabinet,2nd Floor Bedroom,Main Bedroom,Living Room,Outside
44769.25694,20.9,,,,
44769.29861,20.9,,,,
44769.34028,21.2,,,,
44769.38194,21.6,,,,
44769.42361,22.1,,,,
44769.46528,22.5,,,,
44769.50694,22.8,,,,
44769.54861,23.1,,,,
44769.59028,23.5,,,,
44769.63194,23.9,,,,
44769.67361,24.2,,,,
44769.71528,24.5,,,,
44769.75694,24.7,,,,
44769.79861,24.8,,,,
44769.84028,25,,,,
44769.88194,25.1,,,,
44769.92361,25,,,,
44769.96528,24.9,,,,
44770.00694,24.2,,,,
44770.04861,23.8,,,,
44770.09028,23.4,,,,
44770.13194,22.9,,,,
44770.17361,22.7,,,,
44770.21528,22.6,,,,
44770.25694,22.4,,,,
44770.29861,22.5,,,,
44770.34028,22.7,,,,
44770.38194,22.9,,,,
44770.42361,23.4,,,,
44770.46528,23.9,,,,
44770.50694,24.5,,,,
44770.54861,25.1,,,,
44770.59028,25.6,,,,
44770.63194,26,,,,
44770.67361,26.3,,,,
44770.71528,26.6,,,,
44770.75694,26.6,,,,
44770.79861,26.1,,,,
44770.84028,25.7,,,,
44770.88194,25.7,,,,
44770.92361,25.7,,,,
44770.96528,25.9,,,,
44771.00694,25.5,,,,
44771.04861,25.3,,,,
44771.09028,25.3,,,,
44771.13194,25.4,,,,
44771.17361,25.4,,,,
44771.21528,25.4,,,,
44771.25694,25.5,,,,
44771.29861,25.4,,,,
44771.34028,24.9,,,,
44771.38194,24.7,,,,
44771.42361,24.6,,,,
44771.46528,24.6,,,,
44771.50694,24.6,,,,
44771.54861,24.6,,,,
44771.59028,24.6,,,,
44771.63194,24.7,,,,
44771.67361,24.7,,,,
44771.71528,24.8,,,,
44771.75694,24.9,,,,
44771.79861,24.9,,,,
44771.84028,25.2,,,,
44771.88194,25.3,,,,
44771.92361,25.4,,,,
44771.96528,25.4,,,,
44772.00694,25.4,,,,
44772.04861,25.6,,,,
44772.09028,25.7,,,,
44772.13194,25.7,,,,
44772.17361,25.5,,,,
44772.21528,25.5,,,,
44772.25694,25.5,,,,
44772.29861,25.5,,,,
44772.34028,25.5,,,,
44772.38194,25.5,,,,
44772.42361,25.4,,,,
44772.46528,25.4,,,,
44772.50694,25.5,,,,
44772.54861,25.6,,,,
44772.59028,25.7,,,,
44772.63194,25.4,,,,
44772.67361,25.2,,,,
44772.71528,24.9,,,,
44772.75694,24.8,,,,
44772.79861,24.8,,,,
44772.84028,24.7,,,,
44772.88194,24.6,,,,
44772.92361,24.7,,,,
44772.96528,24.9,,,,
44773.00694,25.2,,,,
44773.04861,25.4,,,,
44773.09028,25.3,,,,
44773.13194,25.2,,,,
44773.17361,25,,,,
44773.21528,24.9,,,,
44773.25694,24.8,,,,
44773.29861,24.6,,,,
44773.34028,24.4,,,,
44773.38194,24.4,,,,
44773.42361,24.6,,,,
44773.46528,24.4,,,,
44773.50694,24.4,,,,
44773.54861,24.4,,,,
44773.59028,24.4,,,,
44773.63194,24.5,,,,
44773.67361,24.5,,,,
44773.71528,24.5,,,,
