Time Bucket (America/New_York),Mains_A (kWhs),Mains_B (kWhs),Lights_Nook (kWhs),Lights_LivingRoom (kWhs),Lights_Kitchen (kWhs),Lights_ExerciseRoom_FrontEntrance (kWhs),Garage (kWhs),UpstairsSubPanel (kWhs),AC_Floor1 (kWhs),AC_Floors23 (kWhs),Stove (kWhs),WaterHeater (kWhs),Lights_Study (kWhs),Lights_GFCI (kWhs),Fridge (kWhs),Microwave (kWhs),KitchenCounter (kWhs),Dishwasher (kWhs)
1/13/2022 0:00,50.2572,70.356,6.6291,8.8184,3.2917,0.6738,0,41.671,16.5815,33.414,0,10.2598,3.1189,3.4495,1.3042,0,3.8417,1.1887
1/14/2022 0:00,86.6054,116.9158,11.8087,19.4723,6.1029,3.599,0,74.3905,31.4059,55.0276,0,8.5199,5.369,5.9254,2.1628,0.1221,6.0391,1.7368
1/15/2022 0:00,185.9424,197.1439,13.8147,14.7566,5.4964,4.4606,0,72.4701,123.4246,134.5295,0,13.2937,3.4984,5.733,2.0339,0,7.7051,7.1001
1/16/2022 0:00,211.9176,172.6775,26.8401,0.6681,5.3714,11.3972,1.5638,83.2148,97.4838,139.217,0,8.4151,0,5.6706,1.9956,0.0258,17.1515,12.0146
1/17/2022 0:00,121.1212,98.5445,27.7353,2.1559,6.0445,5.3268,0.0175,80.4443,19.3917,52.4829,0.8309,19.9917,0,5.9187,1.9116,0.0647,17.4899,3.0975
1/18/2022 0:00,140.3732,117.1923,27.8157,0.6563,6.8985,5.2814,0,81.6446,31.7126,88.5104,0.2654,10.2198,0,5.8777,1.7309,0.2108,18.9482,3.9838
1/19/2022 0:00,145.8823,120.2221,28.6304,0.6576,7.0223,5.3003,0.031,75.6609,31.5506,98.0796,0,13.6231,0,5.8898,1.7256,0.1747,15.9289,5.7987
1/20/2022 0:00,124.3852,111.1235,33.2484,0.656,7.2442,9.2147,0.0004,86.4834,18.3341,83.0908,0,6.9885,4.6775,5.892,1.6181,0.0533,6.5643,1.9349
1/21/2022 0:00,184.7764,166.3008,32.5913,0.6684,5.6139,17.5019,0.0031,90.6778,54.2055,149.6308,0,10.2379,5.8055,10.7373,1.0651,0.1396,5.8766,0
1/22/2022 0:00,172.4547,166.9016,32.4904,0.66,2.9154,5.2037,0.0118,78.2065,68.0024,149.066,0,10.5626,5.708,6.5649,1.8522,0,5.8304,0.0314
1/23/2022 0:00,131.285,132.9571,32.8796,0.6452,3.6659,5.3134,0,80.8625,45.3995,95.7675,0,12.9706,5.7541,0,1.9677,0.0506,5.9305,0
1/24/2022 0:00,116.6024,138.0595,33.2734,0.6495,6.2988,5.3191,0,100.1131,36.2519,71.0641,0.0002,12.9679,17.3129,0,2.0076,0,5.9086,0
1/25/2022 0:00,131.1165,120.5525,33.3451,0.65,7.3476,8.2711,0,100.5704,24.0678,68.8677,0,9.0029,10.0864,5.5264,2.0279,0.0489,5.8933,13.9573
1/26/2022 0:00,143.5511,135.9569,33.0975,0.6542,5.9233,5.3029,0,98.9619,47.9321,86.9458,0,9.1374,5.7981,3.946,1.9788,0.221,5.8924,11.7532
1/27/2022 0:00,154.4326,153.051,32.8589,0.6595,5.9439,5.2616,1.6462,113.8336,81.9622,70.3123,0.0221,9.9506,6.9316,0.5187,1.9521,0.0724,6.8804,13.9681
1/28/2022 0:00,109.6718,125.8677,33.4105,0.6361,5.7941,10.2703,0.0302,165.4623,28.4814,0.7936,0,15.4299,11.5842,0,2.2613,0.162,11.4222,11.602
1/29/2022 0:00,121.8367,146.015,32.8222,0.6402,5.5486,6.6661,0,161.5856,51.0455,26.8591,0.2755,12.7372,11.3141,0,1.7403,0.0915,8.8726,11.4205
1/30/2022 0:00,153.8788,180.8461,32.7421,0.6442,5.5189,5.5781,0,169.6989,63.4188,73.2239,0,15.9177,11.2379,0,1.1026,0.0399,11.5047,11.359
1/31/2022 0:00,162.9816,184.2236,32.8796,0.6515,5.5238,4.0983,0,156.1818,73.7267,95.8511,0.1231,6.7466,11.2624,0,1.138,0,12.017,11.3798
2/1/2022 0:00,138.6972,170.9173,32.9474,0.6377,2.3966,0.0015,0,165.4093,63.6833,67.7979,0.1655,6.3859,11.343,0,2.0541,0.05,11.7303,11.48
2/2/2022 0:00,91.6746,128.7841,33.4812,0.6135,0.0482,0.0024,0,167.7807,20.7397,0.7574,0.9498,22.5152,11.4949,0.0005,2.3442,0.0691,12.0377,11.6374
2/3/2022 0:00,65.4428,95.6699,27.6624,0.6064,0.0188,1.5084,0,135.4199,6.1722,0.7604,0,8.282,10.8172,0,1.96,0.0627,8.4648,10.1319
2/4/2022 0:00,71.0386,111.6194,23.2512,0.6048,0.0273,1.5519,0,152.4382,23.1198,0.6718,0,5.8863,11.4944,0,1.9048,0.0774,8.2792,11.6341
2/5/2022 0:00,89.9455,137.4891,22.6955,0.608,0.0534,4.2671,0,167.9159,45.8019,0.725,0.1947,20.2025,11.4351,0,1.6362,0.0345,6.2863,11.5845
2/6/2022 0:00,109.4026,166.346,22.4684,0.617,0.035,0.0082,0,172.5732,72.3645,36.1444,0,8.5648,11.3106,0,1.0387,0,5.8035,11.4783
2/7/2022 0:00,86.9669,124.6409,22.7889,0.62,0.1145,2.8753,0,143.3038,53.347,0.8408,0,9.3399,11.4941,0,2.0887,0.0445,6.0859,11.6286
2/8/2022 0:00,67.5227,92.6136,22.8214,0.6163,0.0125,0.0008,0,113.3425,24.5267,0.7766,0,4.3573,11.5452,0,2.3475,0,5.8894,11.6586
2/9/2022 0:00,69.3633,99.2889,22.828,0.6142,0.0097,0.007,0,111.7385,26.0789,0.8085,0.5926,13.7586,11.5355,0,1.8076,0.4644,2.5331,11.662
2/10/2022 0:00,72.4811,106.6253,22.8217,0.6068,0.0327,0.0468,0,126.4671,22.2945,8.8815,0.2063,15.4098,11.5231,0,1.2437,0,0.2639,11.6834
2/11/2022 0:00,60.6103,88.4675,23.1174,0.6046,0.0432,0.0007,0,109.31,15.8194,0.8303,0.7912,9.2136,11.6686,0,1.4584,0.0341,0.3816,11.8186
2/12/2022 0:00,53.4661,86.0104,23.0905,0.6046,0.2636,0.9717,0,109.2072,4.1323,0.7861,0.1241,17.0023,11.6458,0,1.2946,0.0307,0.2436,7.0091
2/13/2022 0:00,61.5591,103.9808,22.7318,0.6181,0.0367,1.563,0,131.8647,30.4366,0.7017,0,10.8615,6.6411,0,1.2129,0.2137,3.821,5.2389
2/14/2022 0:00,96.309,123.6077,22.9541,0.622,0.0139,5.5631,0,138.6117,52.6241,14.655,0,9.7615,7.7216,0,1.0067,0,6.1378,11.7319
2/15/2022 0:00,118.6195,154.75,22.5296,0.6312,0.5591,2.1189,0,138.6858,80.3459,40.6196,0,9.1384,11.3487,0,1.2063,0.1089,5.7177,11.5085
2/16/2022 0:00,83.4728,119.7198,20.666,0.6116,0.0562,0.1293,0,127.2797,55.9302,0.88,0,18.9186,8.9902,0.0002,1.0523,0.1753,4.4741,11.6523
2/17/2022 0:00,48.2594,81.2254,12.5511,0.5912,0.0231,0.026,0,114.037,8.1091,0.8379,0.8226,9.3564,5.8937,0,1.4837,0,2.1477,11.7941
2/18/2022 0:00,39.1415,70.1736,12.6007,0.5969,0.1769,3.1785,0,101.0084,9.4764,0.7119,0,6.2469,2.5132,0,1.3247,0.0352,1.4993,5.0153
2/19/2022 0:00,77.4924,104.0068,10.5673,0.6567,0.0147,3.2641,0,110.3219,42.3547,13.8626,0,15.4523,3.0322,0,0.9363,0,4.7264,11.5905
2/20/2022 0:00,117.774,147.4344,11.6649,9.5074,0.0782,6.8757,0.0137,113.7245,70.8623,50.6992,0.0022,12.9288,6.0883,0,1.2319,0.1248,15.3192,9.1487
2/21/2022 0:00,72.0366,105.2523,11.4995,0.6133,0.0538,3.6216,0,113.1356,21.7693,21.5458,3.0229,7.6529,11.5007,0,1.5052,0,18.2144,11.6299
2/22/2022 0:00,81.3008,97.9766,11.3917,0.6156,0.0257,9.2028,0,115.1827,21.4454,15.666,0.2366,7.8578,11.5483,0.0013,2.1094,0.189,18.0881,11.6321
2/23/2022 0:00,47.7619,65.9435,11.6269,0.6057,0.0627,0.0282,0,91.8333,2.8167,0.7797,0,9.1189,9.5896,0,1.4951,0.0434,13.3079,8.5086
2/24/2022 0:00,106.7097,145.3889,11.5726,9.6734,0.1343,4.3662,0,136.5369,42.7444,57.8936,0,10.8051,8.5918,1.2834,1.2399,0.3138,15.4697,11.5819
2/25/2022 0:00,102.4296,112.8904,11.4218,0.6174,0.011,1.0993,0,97.0116,47.6811,46.5789,0.8589,12.1968,5.7295,1.0812,0.9529,0,18.0809,11.5748
2/26/2022 0:00,100.6422,120.737,11.3883,0.6185,0.0167,0.0028,0,112.0632,66.39,30.2502,0,9.4199,5.6982,1.0818,1.1958,0.0348,17.8017,11.5318
2/27/2022 0:00,90.1673,133.1777,11.4251,12.4433,0.4895,2.8995,0,136.1089,43.5735,13.2973,2.6503,17.6976,5.6607,1.0824,1.0934,0.0975,17.6249,11.299
2/28/2022 0:00,90.1001,125.3518,11.4986,0.6169,1.1634,0.3258,0,139.4911,56.8238,16.171,0.4776,8.2813,5.7168,1.0894,1.1593,0.1067,17.8926,11.5862
3/1/2022 0:00,105.9433,139.5602,11.4137,0.6196,0.028,0.0194,0,133.0565,70.7073,35.0781,0,11.4927,5.672,1.0756,1.0077,0.1014,17.7298,11.5102
3/2/2022 0:00,67.6451,99.0448,11.6198,0.6056,0.0363,0.024,0,128.514,22.8098,8.9047,0,6.7994,5.7764,1.1006,1.0575,0.1836,18.1024,11.7123
3/3/2022 0:00,73.5924,97.9946,11.5546,0.6101,0.0248,0.0139,0,116.6802,31.0687,9.4682,0,10.3959,5.7564,1.0961,1.2137,0.1041,17.9937,11.6606
3/4/2022 0:00,96.7106,120.1082,11.4601,0.6184,0.0211,0.277,0,115.1973,57.5796,28.5102,0.4324,10.9702,5.7092,1.1153,1.1034,0.1186,17.8612,11.5618
3/5/2022 0:00,89.909,101.0072,11.2607,0.6171,0.0103,0.0203,0,83.4085,40.6727,38.5465,0,8.6994,5.7843,1.096,1.1873,0.0699,17.2493,10.921
3/6/2022 0:00,35.3307,57.811,8.4213,2.5481,0.0152,0.6271,0,60.8121,16.4999,0.8692,0,16.0546,5.8335,1.1074,1.3962,0.177,6.5353,0.6635
3/7/2022 0:00,28.5059,47.5826,7.9739,0.6109,0.3827,0.0051,0,53.0699,4.5138,9.5116,0,10.3109,2.4025,1.1157,1.2905,0.0535,3.0496,1.2574
3/8/2022 0:00,57.1277,81.0197,4.6669,0.6106,0.0547,0.0062,0,56.4425,17.545,55.0965,0.9731,11.0061,0,1.1075,1.1951,0.081,3.8965,3.5633
3/9/2022 0:00,88.8619,89.594,9.3083,0.6146,0.0235,0.6235,0,65.8805,29.4693,62.4249,0,4.4853,0,1.095,0.9931,0.1548,15.5618,9.8186
